epoch,steps,cosine_pearson,cosine_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,dot_pearson,dot_spearman
0,1000,0.6736069928162156,0.6896024207418483,0.6929371830401684,0.7003796755103076,0.6933691925592022,0.700900860923364,0.41571992989080486,0.41251457471629793
0,2000,0.6451554531029859,0.6586976218340455,0.6756875360762931,0.678762520022683,0.677489354307519,0.6805303166163237,0.2070828118673044,0.2315099871696483
0,3000,0.5182718418943225,0.5860458017545451,0.5682348688463754,0.5921204264222202,0.5702238932522079,0.5926764303646433,0.42163290733141745,0.43154772842067546
0,4000,0.510799445685095,0.6060130002542496,0.5737298288032304,0.6086652883738138,0.5777343874854806,0.6094431536793102,0.48416944857901384,0.5386543735104916
0,5000,0.5689943360999363,0.6502972316952096,0.6259588695235372,0.6507976875565937,0.6311108445896151,0.6524036922236336,0.5589638050233691,0.62075122609185
0,6000,0.6412161794932174,0.6921032658840783,0.6813601897954227,0.6922034065225815,0.685580613208922,0.6936928150237478,0.632809088799269,0.667175230887381
0,7000,0.6334451579332369,0.6873562839604486,0.6758832877838815,0.6871620703032881,0.6805015143663417,0.688692973495012,0.6286711353712615,0.6636521857514636
0,8000,0.6622733168695077,0.7006730120116746,0.6979293133239829,0.7021004969825625,0.7017661469198899,0.7045004363612062,0.6460813568378492,0.6634478083862213
0,9000,0.6598649849657134,0.7076580808890848,0.6994678167534625,0.7069870537356102,0.7054621457671236,0.710236954554914,0.6518348420049747,0.6782590570417858
0,10000,0.6778450575650405,0.7143450819451368,0.7086239923505893,0.7120044539953249,0.7131591069467813,0.7147244683279519,0.6737309300477375,0.691218343565199
0,11000,0.6890907051234159,0.7266995388696558,0.722928646624308,0.725765178794239,0.7272646568045391,0.7284639404431601,0.6869213975839539,0.7089114589782537
0,12000,0.7107547498300721,0.736573874865535,0.7358426587604259,0.7353253330786363,0.7387129933902967,0.737526599722309,0.706769857034299,0.7172883313072654
0,13000,0.708341548098083,0.733365402662645,0.7334037360458557,0.7325172937742302,0.7358962961864347,0.7344463591624384,0.7021049187987298,0.7121259202713209
